Part Number,Finish,Length,Units,List Price,Page Number(s)
AS-0501,Clear,24’ - 0”,1 pc.,819,"F1-4, F3-11, F5-4"
AS-0501,Bronze,24’ - 0”,1 pc.,851,"F1-4, F3-11, F5-4"
AS-0501,Paint,24’ - 0”,1 pc.,923,"F1-4, F3-11, F5-4"
AS-0503,Mill,24’ - 0”,1 pc.,167,"F1-4, F1-10, F1-18"
AS-0504,Clear,22’ - 2”,1 pc.,810,"F1-4, F1-10, F1-17"
AS-0504,Bronze,22’ - 2”,1 pc.,842,"F1-4, F1-10, F1-17"
AS-0504,Paint,22’ - 2”,1 pc.,963,"F1-4, F1-10, F1-17"
AS-0517,Clear,24’ - 0”,1 pc.,830,"F1-10, F1-18"
AS-0517,Bronze,24’ - 0”,1 pc.,854,"F1-10, F1-18"
AS-0517,Paint,24’ - 0”,1 pc.,1127,"F1-10, F1-18"
AS-0520,Clear,24’ - 0”,1 pc.,657,F1-4
AS-0520,Bronze,24’ - 0”,1 pc.,677,F1-4
AS-0520,Paint,24’ - 0”,1 pc.,914,F1-4
AS-0521,Clear,24’ - 0”,1 pc.,657,"F1-10, F1-18"
AS-0521,Bronze,24’ - 0”,1 pc.,677,"F1-10, F1-18"
AS-0521,Paint,24’ - 0”,1 pc.,914,"F1-10, F1-18"
AS-0551,Clear,22’ - 2”,1 pc.,656,"F1-4, F1-10, F1-17"
AS-0551,Bronze,22’ - 2”,1 pc.,680,"F1-4, F1-10, F1-17"
AS-0551,Paint,22’ - 2”,1 pc.,791,"F1-4, F1-10, F1-17"
AS-0552,Clear,24’ - 0”,1 pc.,732,F1-4
AS-0552,Bronze,24’ - 0”,1 pc.,755,F1-4
AS-0552,Paint,24’ - 0”,1 pc.,998,F1-4
AS-0553,Clear,24’ - 0”,1 pc.,732,"F1-10, F1-18"
AS-0553,Bronze,24’ - 0”,1 pc.,755,"F1-10, F1-18"
AS-0553,Paint,24’ - 0”,1 pc.,993,"F1-10, F1-18"
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
AS-1216,Mill,24’ - 0”,1 pc.,197,"E2-3, E2-13, E2-28, E5-3, E5-8, E5-15"
AS-1217,Mill,24’ - 0”,1 pc.,338,E2-13
AS-1227,Mill,24’ - 0”,1 pc.,422,E2-13
AS-1237,Mill,24’ - 0”,1 pc.,399,E2-3
AS-1240,Mill,24’ - 0”,1 pc.,237,E2-14
AS-1539,Clear,24’ - 0”,1 pc.,108,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-5"
AS-1539,Bronze,24’ - 0”,1 pc.,110,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-5"
AS-1539,Paint,24’ - 0”,1 pc.,170,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-5"
AS-1565,Clear,24’ - 0”,1 pc.,473,C3-22
AS-1565,Bronze,24’ - 0”,1 pc.,537,C3-22
AS-1565,Paint,24’ - 0”,1 pc.,611,C3-22
AS-1566,Clear,24’ - 0”,1 pc.,462,C3-22
AS-1566,Bronze,24’ - 0”,1 pc.,525,C3-22
AS-1566,Paint,24’ - 0”,1 pc.,615,C3-22
AS-1601,Mill,24’ - 0”,1 pc.,185,E3-2
AS-1616,Mill,24’ - 0”,1 pc.,197,E3-4
AS-1632,Mill,24’ - 0”,1 pc.,240,E3-2
AS-1640,Mill,24’ - 0”,1 pc.,254,E3-3
AS-1654,Mill,24’ - 0”,1 pc.,365,E3-4
AS-1655,Mill,24’ - 0”,1 pc.,405,E3-4
AS-1662,Mill,24’ - 0”,1 pc.,216,E3-4
AS-1666,Mill,24’ - 0”,1 pc.,219,E3-2
AS-1667,Mill,24’ - 0”,1 pc.,254,E3-2
AS-1717,Clear,22’ - 2”,1 pc.,594,"D2-10, D5-14"
AS-1717,Bronze,22’ - 2”,1 pc.,651,"D2-10, D5-14"
AS-1717,Paint,22’ - 2”,1 pc.,762,"D2-10, D5-14"
AS-1718,Clear,24’ - 0”,1 pc.,624,"D2-10, D5-14"
AS-1718,Bronze,24’ - 0”,1 pc.,680,"D2-10, D5-14"
