Part Number,Finish,Length,Units,List Price,Page Number(s)
AS-0517,Clear,24’ - 0”,1 pc.,830.0,"F1-10, F1-18"
AS-0517,Bronze,24’ - 0”,1 pc.,854.0,"F1-10, F1-18"
AS-0517,Paint,24’ - 0”,1 pc.,1127.0,"F1-10, F1-18"
AS-0520,Clear,24’ - 0”,1 pc.,657.0,F1-4
AS-0520,Bronze,24’ - 0”,1 pc.,677.0,F1-4
AS-0520,Paint,24’ - 0”,1 pc.,914.0,F1-4
AS-0521,Clear,24’ - 0”,1 pc.,657.0,"F1-10, F1-18"
AS-0521,Bronze,24’ - 0”,1 pc.,677.0,"F1-10, F1-18"
AS-0521,Paint,24’ - 0”,1 pc.,914.0,"F1-10, F1-18"
AS-0551,Clear,22’ - 2”,1 pc.,656.0,"F1-4, F1-10, F1-17"
AS-0551,Bronze,22’ - 2”,1 pc.,680.0,"F1-4, F1-10, F1-17"
AS-0551,Paint,22’ - 2”,1 pc.,791.0,"F1-4, F1-10, F1-17"
AS-0552,Clear,24’ - 0”,1 pc.,732.0,F1-4
AS-0552,Bronze,24’ - 0”,1 pc.,755.0,F1-4
AS-0552,Paint,24’ - 0”,1 pc.,998.0,F1-4
AS-0553,Clear,24’ - 0”,1 pc.,732.0,"F1-10, F1-18"
AS-0553,Bronze,24’ - 0”,1 pc.,755.0,"F1-10, F1-18"
AS-0553,Paint,24’ - 0”,1 pc.,993.0,"F1-10, F1-18"
AS-1216,Mill,24’ - 0”,1 pc.,197.0,"E2-3, E2-13, E2-28, E5-3, E5-8, E5-15"
AS-1217,Mill,24’ - 0”,1 pc.,338.0,E2-13
AS-1227,Mill,24’ - 0”,1 pc.,422.0,E2-13
AS-1237,Mill,24’ - 0”,1 pc.,399.0,E2-3
AS-1240,Mill,24’ - 0”,1 pc.,237.0,E2-14
AS-1539,Clear,24’ - 0”,1 pc.,108.0,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-5"
AS-1539,Bronze,24’ - 0”,1 pc.,110.0,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-5"
AS-1539,Paint,24’ - 0”,1 pc.,170.0,"D7-6, D7-11, D8-6, E6-4, E6-14, E6-22, E7-5"
AS-1565,Clear,24’ - 0”,1 pc.,473.0,C3-22
AS-1565,Bronze,24’ - 0”,1 pc.,537.0,C3-22
AS-1565,Paint,24’ - 0”,1 pc.,611.0,C3-22
AS-1566,Clear,24’ - 0”,1 pc.,462.0,C3-22
AS-1566,Bronze,24’ - 0”,1 pc.,525.0,C3-22
AS-1566,Paint,24’ - 0”,1 pc.,615.0,C3-22
AS-1601,Mill,24’ - 0”,1 pc.,185.0,E3-2
AS-1616,Mill,24’ - 0”,1 pc.,197.0,E3-4
AS-1632,Mill,24’ - 0”,1 pc.,240.0,E3-2
AS-1640,Mill,24’ - 0”,1 pc.,254.0,E3-3
AS-1654,Mill,24’ - 0”,1 pc.,365.0,E3-4
AS-1655,Mill,24’ - 0”,1 pc.,405.0,E3-4
AS-1662,Mill,24’ - 0”,1 pc.,216.0,E3-4
AS-1666,Mill,24’ - 0”,1 pc.,219.0,E3-2
AS-1667,Mill,24’ - 0”,1 pc.,254.0,E3-2
AS-1717,Clear,22’ - 2”,1 pc.,594.0,"D2-10, D5-14"
AS-1717,Bronze,22’ - 2”,1 pc.,651.0,"D2-10, D5-14"
AS-1717,Paint,22’ - 2”,1 pc.,762.0,"D2-10, D5-14"
AS-1718,Clear,24’ - 0”,1 pc.,624.0,"D2-10, D5-14"
AS-1718,Bronze,24’ - 0”,1 pc.,680.0,"D2-10, D5-14"
AS-1718,Paint,24’ - 0”,1 pc.,755.0,"D2-10, D5-14"
AS-1720,Clear,24’ - 0”,1 pc.,615.0,"D2-10, D5-14"
AS-1720,Bronze,24’ - 0”,1 pc.,671.0,"D2-10, D5-14"
AS-1720,Paint,24’ - 0”,1 pc.,744.0,"D2-10, D5-14"
AS-1796,Clear,24’ - 0”,1 pc.,882.0,"D2-11, D5-15"
AS-1796,Bronze,24’ - 0”,1 pc.,897.0,"D2-11, D5-15"
AS-1796,Paint,24’ - 0”,1 pc.,1026.0,"D2-11, D5-15"
AS-2422,Clear,24’ - 0”,1 pc.,402.0,D4-4
AS-2422,Bronze,24’ - 0”,1 pc.,437.0,D4-4
AS-2422,Paint,24’ - 0”,1 pc.,536.0,D4-4
AS-2590,Clear,22’ - 0”,1 pc.,782.0,C3-15
AS-2590,Bronze,22’ - 0”,1 pc.,800.0,C3-15
AS-2590,Paint,22’ - 0”,1 pc.,935.0,C3-15
AS-2591,Clear,24’ - 0”,1 pc.,720.0,C3-15
AS-2591,Bronze,24’ - 0”,1 pc.,740.0,C3-15
AS-2591,Paint,24’ - 0”,1 pc.,971.0,C3-15
AS-2807,Clear,24’ - 0”,1 pc.,698.0,D6-11
AS-2807,Bronze,24’ - 0”,1 pc.,728.0,D6-11
Index-52,,,,,
AS-2807,Paint,24’ - 0”,1 pc.,830.0,D6-11
AS-2808,Bronze,24’ - 0”,1 pc.,443.0,D6-11
AS-2808,Clear,24’ - 0”,1 pc.,444.0,D6-11
AS-2808,Paint,24’ - 0”,1 pc.,992.0,D6-11
AS-2810,Bronze,24’ - 0”,1 pc.,425.0,D6-11
AS-2810,Clear,24’ - 0”,1 pc.,426.0,D6-11
AS-2810,Paint,24’ - 0”,1 pc.,948.0,D6-11
AS-2881,Clear,24’ - 0”,1 pc.,887.0,"D2-11, D5-15"
AS-2881,Bronze,24’ - 0”,1 pc.,902.0,"D2-11, D5-15"
AS-2881,Paint,24’ - 0”,1 pc.,1035.0,"D2-11, D5-15"
AS-2960,Clear,24’ - 0”,1 pc.,902.0,C4-11
AS-2960,Bronze,24’ - 0”,1 pc.,926.0,C4-11
AS-2960,Paint,24’ - 0”,1 pc.,1164.0,C4-11
AS-2961,Clear,24’ - 0”,1 pc.,1035.0,C4-11
AS-2961,Bronze,24’ - 0”,1 pc.,1052.0,C4-11
AS-2961,Paint,24’ - 0”,1 pc.,1208.0,C4-11
AS-3172,Mill,24’ - 0”,1 pc.,225.0,"F2-10, F3-2"
AS-3173,Mill,24’ - 0”,1 pc.,213.0,"F2-3, F3-2"
AS-3175,Mill,24’ - 0”,1 pc.,468.0,F2-10
AS-3177,Mill,24’ - 0”,1 pc.,438.0,F2-3
AS-3178,Mill,24’ - 0”,1 pc.,278.0,"F2-10, F3-2"
AS-3179,Mill,24’ - 0”,1 pc.,275.0,"F2-3, F3-2"
AS-3180,Clear,22’ - 2”,1 pc.,372.0,"F4-3, F5-4"
AS-3180,Bronze,22’ - 2”,1 pc.,392.0,"F4-3, F5-4"
AS-3180,Clear,24’ - 0”,1 pc.,396.0,F3-11
AS-3180,Bronze,24’ - 0”,1 pc.,416.0,F3-11
AS-3180,Paint,22’ - 2”,1 pc.,540.0,"F4-3, F5-4"
AS-3180,Paint,24’ - 0”,1 pc.,566.0,F3-11
AS-3181,Clear,24’ - 0”,1 pc.,570.0,F4-3
AS-3181,Bronze,24’ - 0”,1 pc.,590.0,F4-3
AS-3181,Paint,24’ - 0”,1 pc.,795.0,F4-3
AS-3515,Mill,24’ - 0”,1 pc.,276.0,E2-14
AS-3526,Mill,24’ - 0”,1 pc.,213.0,E2-14
AS-3529,Mill,24’ - 0”,1 pc.,236.0,E2-14
AS-3532,Clear,24’ - 0”,1 pc.,363.0,E2-13
AS-3532,Bronze,24’ - 0”,1 pc.,386.0,E2-13
AS-3532,Paint,24’ - 0”,1 pc.,453.0,E2-13
AS-3539,Mill,24’ - 0”,1 pc.,494.0,E2-14
AS-3566,Mill,24’ - 0”,1 pc.,335.0,E2-13
AS-3569,Mill,24’ - 0”,1 pc.,251.0,"E2-13, E2-28"
AS-3572,Mill,24’ - 0”,1 pc.,231.0,E2-3
AS-3574,Mill,24’ - 0”,1 pc.,212.0,"E2-3, E2-13, E2-28, E5-3, E5-9, E5-16, I1-22"
AS-3576,Mill,24’ - 0”,1 pc.,275.0,"E2-13, E2-28"
AS-3617,Black,24’ - 0”,1 pc.,248.0,"E2-13, E6-3"
AS-3618,Polyamide,24’ - 0”,1 pc.,272.0,E3-2
AS-3906,Mill,24’ - 0”,1 pc.,243.0,"E6-3, E6-13, E6-21"
AS-3907,Mill,24’ - 0”,1 pc.,224.0,E6-3
AS-3907,Clear,24’ - 0”,1 pc.,240.0,E6-3
AS-3907,Bronze,24’ - 0”,1 pc.,243.0,E6-3
AS-3907,Paint,24’ - 0”,1 pc.,272.0,E6-3
AS-3920,Mill,24’ - 0”,1 pc.,243.0,E6-13
AS-3920,Clear,24’ - 0”,1 pc.,257.0,E6-13
AS-3920,Bronze,24’ - 0”,1 pc.,263.0,E6-13
AS-3920,Paint,24’ - 0”,1 pc.,297.0,E6-13
AS-3921,Mill,24’ - 0”,1 pc.,254.0,E6-21
AS-3921,Clear,24’ - 0”,1 pc.,270.0,E6-21
AS-3921,Bronze,24’ - 0”,1 pc.,275.0,E6-21
AS-3921,Paint,24’ - 0”,1 pc.,315.0,E6-21
AS-3958,Mill,24’ - 0”,1 pc.,218.0,E7-4
AS-9480,Bronze,24’ - 0”,1 pc.,681.0,"C4-4, C4-10"
AS-9480,Clear,24’ - 0”,1 pc.,681.0,"C4-4, C4-10"
AS-9480,Paint,24’ - 0”,1 pc.,972.0,"C4-4, C4-10"
AS-9562,Bronze,24’ - 0”,1 pc.,605.0,"C4-4, C4-10"
AS-9562,Clear,24’ - 0”,1 pc.,605.0,"C4-4, C4-10"
AS-9562,Paint,24’ - 0”,1 pc.,795.0,"C4-4, C4-10"
BE9-0465,Mill,24’ - 0”,1 pc.,347.0,"C3-6, C3-16, C3-23, C3-29, C4-12, C4-27, D2-12, D5-16, D6-12"
BE9-0631,Clear,24’ - 0”,1 pc.,786.0,F1-15
BE9-0631,Bronze,24’ - 0”,1 pc.,812.0,F1-15
BE9-0631,Paint,24’ - 0”,1 pc.,996.0,F1-15
BE9-0632,Clear,24’ - 0”,1 pc.,677.0,F1-15
BE9-0632,Bronze,24’ - 0”,1 pc.,687.0,F1-15
BE9-0632,Paint,24’ - 0”,1 pc.,839.0,F1-15
BE9-0634,Clear,24’ - 0”,1 pc.,672.0,F1-16
BE9-0634,Bronze,24’ - 0”,1 pc.,701.0,F1-16
BE9-0634,Paint,24’ - 0”,1 pc.,869.0,F1-16
